Budget_Rank,University Name,Province,Type
1,清华大学,北京市,985
2,浙江大学,浙江省,985
3,北京大学,北京市,985
4,中山大学,广东省,985
5,上海交通大学,上海市,985
6,复旦大学,上海市,985
7,山东大学,山东省,985
8,华中科技大学,湖北省,985
9,东南大学,江苏省,985
10,西安交通大学,陕西省,985
11,武汉大学,湖北省,985
12,四川大学,四川省,985
13,吉林大学,吉林省,985
14,同济大学,上海市,985
15,天津大学,天津市,985
16,北京师范大学,北京市,985
17,中南大学,湖南省,985
18,华南理工大学,广东省,985
19,南京大学,江苏省,985
20,中国人民大学,北京市,985
21,厦门大学,福建省,985
22,电子科技大学,四川省,985
23,大连理工大学,辽宁省,985
24,郑州大学,河南省,211
25,华东师范大学,上海市,985
26,南开大学,天津市,985
27,深圳大学,广东省,0
28,重庆大学,重庆市,985
29,北京交通大学,北京市,211
30,武汉理工大学,湖北省,211
31,湖南大学,湖南省,985
32,中国农业大学,北京市,985
33,兰州大学,甘肃省,985
34,东北大学,辽宁省,985
35,西南交通大学,四川省,211
36,北京科技大学,北京市,211
37,西南大学,重庆市,211
38,西安电子科技大学,陕西省,211
39,中国海洋大学,山东省,985
40,河海大学,江苏省,211
41,中国石油大学华东,山东省,211
42,中国地质大学武汉,湖北省,211
43,中国石油大学北京,北京市,211
44,西北农林科技大学,陕西省,985
45,南方科技大学,广东省,0
46,中国矿业大学,江苏省,211
47,长安大学,陕西省,211
48,华东理工大学,上海市,211
49,江南大学,江苏省,211
50,华中农业大学,湖北省,211
51,南京农业大学,江苏省,211
52,苏州大学,江苏省,211
53,上海大学,上海市,211
54,华中师范大学,湖北省,211
55,合肥工业大学,安徽省,211
56,河南大学,河南省,0
57,浙江工业大学,浙江省,0
58,北方工业大学,北京市,0
59,北京工业大学,北京市,211
60,广西大学,广西省,211
61,北京邮电大学,北京市,211
62,陕西师范大学,陕西省,211
63,东北师范大学,吉林省,211
64,扬州大学,江苏省,0
65,北京化工大学,北京市,211
66,宁波大学,浙江省,0
67,北京中医药大学,北京市,211
